Error: That port is already in use.
[18/Aug/2018 15:28:27] "GET /admin/ HTTP/1.1" 200 3778
[18/Aug/2018 15:28:27] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[18/Aug/2018 15:28:27] "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
[18/Aug/2018 15:28:27] "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
[18/Aug/2018 15:28:27] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
[18/Aug/2018 15:28:27] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
[18/Aug/2018 15:28:27] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
[18/Aug/2018 15:28:27] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
[18/Aug/2018 15:28:28] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
[18/Aug/2018 15:28:30] "GET /admin/main/djangoboard/ HTTP/1.1" 200 4473
[18/Aug/2018 15:28:30] "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[18/Aug/2018 15:28:30] "GET /admin/jsi18n/ HTTP/1.1" 200 3217
[18/Aug/2018 15:28:30] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[18/Aug/2018 15:28:30] "GET /static/admin/js/core.js HTTP/1.1" 304 0
[18/Aug/2018 15:28:30] "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363
[18/Aug/2018 15:28:30] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[18/Aug/2018 15:28:30] "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[18/Aug/2018 15:28:31] "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[18/Aug/2018 15:28:31] "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[18/Aug/2018 15:28:31] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[18/Aug/2018 15:28:31] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
[18/Aug/2018 15:28:35] "GET /admin/main/djangoboard/add/ HTTP/1.1" 200 5411
[18/Aug/2018 15:28:36] "GET /static/admin/css/forms.css HTTP/1.1" 200 8173
[18/Aug/2018 15:28:36] "GET /admin/jsi18n/ HTTP/1.1" 200 3217
[18/Aug/2018 15:28:36] "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
[18/Aug/2018 15:28:36] "GET /static/admin/js/change_form.js HTTP/1.1" 200 712
[18/Aug/2018 15:28:36] "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
[18/Aug/2018 15:28:36] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 495
[18/Aug/2018 15:28:36] "GET /static/admin/css/widgets.css HTTP/1.1" 200 10340
[18/Aug/2018 15:28:36] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
[18/Aug/2018 15:29:12] "POST /admin/main/djangoboard/add/ HTTP/1.1" 302 0
[18/Aug/2018 15:29:13] "GET /admin/main/djangoboard/ HTTP/1.1" 200 4910
[18/Aug/2018 15:29:13] "GET /admin/jsi18n/ HTTP/1.1" 200 3217
[18/Aug/2018 15:29:13] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[18/Aug/2018 15:29:19] "GET /admin/main/djangoboard/add/ HTTP/1.1" 200 5411
[18/Aug/2018 15:29:22] "GET /admin/ HTTP/1.1" 200 4084
[18/Aug/2018 15:29:25] "GET /admin/auth/user/ HTTP/1.1" 200 6473
[18/Aug/2018 15:29:25] "GET /admin/jsi18n/ HTTP/1.1" 200 3217
[18/Aug/2018 15:29:25] "GET /static/admin/img/search.svg HTTP/1.1" 200 458
[18/Aug/2018 15:29:26] "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
[18/Aug/2018 15:29:28] "GET /admin/ HTTP/1.1" 200 4084
[18/Aug/2018 15:29:29] "GET /admin/auth/group/ HTTP/1.1" 200 3385
[18/Aug/2018 15:29:30] "GET /admin/jsi18n/ HTTP/1.1" 200 3217
[18/Aug/2018 15:29:31] "GET /admin/ HTTP/1.1" 200 4084
[18/Aug/2018 15:29:35] "GET / HTTP/1.1" 200 2912
[18/Aug/2018 15:47:43] "GET / HTTP/1.1" 200 2912
[18/Aug/2018 15:47:46] "GET /main HTTP/1.1" 301 0
[18/Aug/2018 15:47:46] "GET /main/ HTTP/1.1" 200 200
[18/Aug/2018 15:47:47] "GET /static/css/test.css HTTP/1.1" 304 0
[18/Aug/2018 15:51:16] "GET /main/ HTTP/1.1" 200 200
[18/Aug/2018 15:51:17] "GET /main/ HTTP/1.1" 200 200
[18/Aug/2018 15:51:36] "GET /main/ HTTP/1.1" 200 200
[18/Aug/2018 15:52:01] "GET /main/ HTTP/1.1" 200 200
[18/Aug/2018 15:52:05] "GET / HTTP/1.1" 200 2912
[18/Aug/2018 15:53:10] "GET / HTTP/1.1" 200 2912
[18/Aug/2018 15:53:12] "GET / HTTP/1.1" 200 2912
